text,span1,label
"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time , demolishing homes , uprooting olive or citrus trees , physical intimidation and terror tactics employed by raiding army units , shooting , killing , cutting off water or electricity supplies and telephone links to villages or towns , mass arrests , intimidatory interrogation techniques — can either create a temporary lull or activate an eruption .","[32, 33]",0
"Five hundred pound for carpets , leaves four hundred pound , two hundred pound for suite and the microwave","[6, 7]",1
It also noted that ownership of and access to environmental data was a policy matter of the greatest importance ; this may be more difficult in ‘ within country ’ data than with global data since the latter are often already the subject of international exchange agreements at zero cost .,"[28, 29]",0
"Yeah it 's a jobs morning this morning kitchen floors a good thing , we 'll have to kitchen floor Tim , that 'll be fun wo n't it ?","[8, 9]",0
"He claims that serious work on inner-city policy began in 1979 : but it was , undoubtedly , the riots of 1981 , coinciding with the biggest drop in employment and job vacancies since the war , which gave impetus to the new approach .","[38, 39]",1
Just once a couple of tears rolled down .,"[3, 4]",0
But one side branch shoots up very high and lets fall an avalanche of dark green pine needles .,"[12, 13]",1
Effectively the sequence is that the person in default is told what is wrong and is required to put it right .,"[10, 11]",0
"The sport is now obliged to find income from the more normal sources of television and sponsorship , to replace his largely unacknowledged private patronage .","[12, 13]",1
"Her priorities include giving more encouragement to medical research ; emphasis on preventive health to make the NHS a ‘ health as well as a sickness service ’ , with the publication shortly of new national targets for reducing deaths from heart disease and cancers ; and pressing ahead with care in the community .","[38, 39]",1
"The children using all of these services came from a wide range of ethnic backgrounds , though rarely was this actively and positively reflected in the type of care provided or the ethnic background of their carers .","[23, 24]",1
"In a desperately competitive climate , where anyone bright and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom , the railways ran a service dependent on people who belonged to a narrow and inbred working culture , with outdated procedures of training and promotion , and an institutional reliance on overtime working , whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week .","[73, 74]",0
"The problem with assessing the influence of parental and family dimensions , such as weak supervision or parental criminality , is the fact that they are closely linked to various aspects of social and economic disadvantage , such as poverty , overcrowding and poor housing .","[3, 4]",1
"However much he might desire her , she would have no more than the allotted space in his life .","[15, 16]",1
"Equally intriguing will be the line-out performance of the young London Irish lock , Neil Francis , who has been left out of the current Ireland squad .","[12, 13]",1
people are getting paid again .,"[3, 4]",0
Thus the Palestinian national movement both inside and outside the occupied territories is an organic whole .,"[4, 5]",1
"We have so far talked about positive and negative charges , about point charges , and distributed charge .","[9, 10]",1
"He waited till the horses were well away and looked round the wide , flat landscape carefully before unclipping the lead .","[14, 15]",0
All my Ah we have to still tell Patrick about have n't we ?,"[7, 8]",0
So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors ' interests and co-ordinate the fight for compensation .,"[16, 17]",0
"Now Holt and Harris both have many wise , enlightened and humane observations to make about some of the injustices which we inflict upon children , but as these remarks show , putting them right without inflicting equally grave injustice is no easy matter .","[30, 31]",1
"We fell out for a little while but I mean , playing loud but I mean upstairs is fine .","[18, 19]",0
"I could have gone with it , giving myself four blissful miles of upland walking followed by as many miserable hours of fruitless searching for return transport to East Kielder Farm .","[19, 20]",0
Sixty watt light bulbs,"[2, 3]",0
"Everything is home-grown , home-made and fresh : it tastes like forgotten food .","[2, 3]",0
Container group Tiphook yesterday said it was still confident of winning its joint £643million bid for Sea Containers even though the battle has swung towards James Sherwood 's ferries-to-trailers combine .,"[17, 18]",0
"By using Stokes ' theorem for the left-hand-side and recognizing that the integral of the current density gives the current , the above equation reduces to formula , where the line integration is along the curve C enclosing the surface .","[15, 16]",1
But if Sartre anticipates such later thinkers we should not assume too quickly that they have simply taken his insights further .,"[10, 11]",1
"The basic social contract , whereby citizens enjoy certain rights — including health care , decent education and housing and a job — in return for which they observe the rule of law , was breaking down .","[8, 9]",0
"Response includes search and rescue ( including the need to cope with secondary threats such as contamination of water supplies after an explosion , or fire following an earthquake ) .","[25, 26]",0
I daresay she wants me to go ! ’,"[1, 2]",0
Ruth had no heart for it .,"[3, 4]",1
"If the approach was that way he would get no warning at all , and it would be on top of George — his name for the dummy sitting like a drunken son-of-a-bitch — before he knew it .","[19, 20]",1
"Carson thereupon fell out of the contest — or rather announced that he was not standing , for no official nominations had been made .","[2, 3]",1
"As you come back from Brouage towards St Jean-d'Angely — on the D18 via the canalside village of Pont-l'Abbe-d'Arnoult , with a lovely Romanesque church faade — a sign at the junction of the D122 points you to the chateau whose improbably perfect lake and gardens stare at you from posters throughout the region : La Roche Courbon .","[46, 47]",1
"If by 1945 Merleau-ponty had here already indicated the historical basis for what was to become Sartre 's project in the Critique , the theoretical problem that followed was how to unite orthodox Marxist concepts of economic determinism and historical necessity with the individualism of Sartre 's earlier work , that is the existentialist notion of the authentic self and the possibility of choosing one 's own freedom : how to relocate human practice within historical determinism , to reconcile the individual with the social , the idea of agency with that of necessity , or freedom with history ?","[36, 37]",0
The ‘ trade union question ’ would cease to haunt the Labour Party and while that might upset some Conservatives it would be good for the country .,"[17, 18]",1
""" Helping out , "" said Frederica .","[1, 2]",0
"In Scandinavia , with their mixed economies , money is always available , after a bit of persuasion , from both local and central government .","[15, 16]",1
"The problem is now recognized , especially in Europe , and strenuous efforts are being made to harmonise the data sets ( e.g. through the use of standard classifications , such as that for land use produced by the Conference of European Statisticians in 1989 ) .","[36, 37]",0
The National Association for the Advancement of Coloured People tried it to scourge Hollywood ; but Hollywood just giggled .,"[9, 10]",1
Rhind 's chapter on environmental monitoring and prediction discusses the role of geographic information management in promoting sustainable development on a global scale in the context of the issues identified in the Brundtland report .,"[22, 23]",1
"In the sections to follow the stark question is therefore put ‘ Is the Probation Service in the business of inflicting pain ? ’ and the answer which unfolds may be summarized ‘ No , because it neither aspires nor wishes to ! ’","[7, 8]",0
"‘ I am the centre of my existence , ’ Clare sang , as if chanting a psalm , pitching her voice an octave lower , as she pushed Josh to her playgroup the next morning .","[17, 18]",1
He asked the taxi he had taken to put him down at the top of the drift and he had walked to the house .,"[13, 14]",1
So long as there was no hunt for a missing girl they had felt themselves reasonably safe .,"[16, 17]",1
"A child greets her , but a young warrior strikes the child with a stick .","[2, 3]",0
"Nowadays the problem is quite the reverse : medical science is generally able to determine whether D's conduct caused the death , and innovations such as life-support machines mean that life can be prolonged for months and years in some instances .","[40, 41]",0
"The appearance of a famous face in the show rooms always caused a stir amongst the girls , who all longed to hook a wealthy husband — and if he had a title , like the Aly Khan , or was a film star like Omar Shariff , then so much the better !","[32, 33]",0
"He sees them as not only strengthening small communities , but also as actually beginning to reverse the population flows from the countryside to the towns .","[16, 17]",1
"Just got the urge , that 's all . ’","[1, 2]",1
"He had turned on her and said with cold savagery , ‘ For fuck 's sake , stop kicking me , will you ? ’","[8, 9]",1
"And this man came to the door , and he went to get the belt , that should just have a tape recorder on conversation just throughout the week so it 's getting all sorts of rubbish going in there ,","[34, 35]",0
"This has been proved in several places : in some arctic localities it is found with trilobites that lived at great depths in the muds of the Ordovician ocean , while in Canada the same species occurs mixed with the inhabitants of the shallow-water seas , where limestones were accumulating .","[43, 44]",0
I know where to go .,"[1, 2]",0
"Frederica did not attempt to ascertain the fumbled name , having given up interest in stray new people until it was clear that they were of real concern .","[5, 6]",0
"It would be a natural extension of the Intifada 's dual strategy towards disengagement from Israel , and the corresponding process of state building .","[13, 14]",1
By examining the way these animals were put together it is possible to suggest a likely mode of life .,"[8, 9]",1
"‘ He liberated us from the Turks and fought for our independence , ’ said a small boy who waited at the quayside amid a jostling crowd of former monarchs , visiting Serbian bishops and television crews .","[28, 29]",0
But she 's got about six different firms on the computer and was comparing notes .,"[3, 4]",1
"Brutality , as Hill describes and felt it , was a bitter part of his prison life ; you just learnt to get down on the floor as fast as you could and cover up as best you could .","[16, 17]",0
This might have had the effect of drawing families into the specialist system at an earlier stage .,"[7, 8]",1
"This trick took hours of practice , up and down the landing at the hostel while the other girls looked at her as if she had taken leave of her senses .","[26, 27]",1
"Peter Crowther , managing director of a Leeds business centre , recently bought two semi-detached stone cottages in Bramhope , on the outskirts of Leeds , at an auction in the village pub .","[32, 33]",0
"Not a sign of spring had yet penetrated this secret valley , but another month would put that right .","[16, 17]",1
"Same time , same place ?","[4, 5]",1
In years to come the percentage difference is likely to be much larger .,"[3, 4]",1
"seven times three , and three times seven .","[6, 7]",0
"The final interview entails a personalized review of the course , as well as the formulation of a follow-up plan to be undertaken with the offender 's supervising officer .","[15, 16]",1
You go round that corner not off that way towards the wards just go from the desk right round the corner and follow it right the way down as far as you can go .,"[20, 21]",0
Well they half upstairs straight away .,"[0, 1]",0
I want raisin .,"[1, 2]",0
"For the ‘ dogmatic dialectic ’ , as he describes dialectical materialism , the whole question naturally poses no problem , for each person or group simply constitutes a partial moment of an already operative movement of totalization that produces them and then goes beyond them .","[35, 36]",1
"Anyway , there I was , going up this endless corridor , thinking what to do about the mother , who blamed herself — wi' reason mind you , she was one of those soft suckering witch-women , but that made it worse , not better — and there was th' trolley wi' the dead girl on it , sliding by me — sheet right over , porters in those soft theatre boots and floppy plastic bathcaps — and when they 'd got past me and were turning i n't door , the first one looked at me from under his plastic frills like , with my own face .","[70, 71]",0
"He knew that he was oversensitive to the timbre of the human voice and hers , although not jarring or unpleasant , sounded a little forced as if she were deliberately speaking at an unnatural pitch .","[18, 19]",1
"Of course because there are no living trilobites we can not find direct confirmation of this hypothesis , but we can look for other arthropods that have the same modifications of the eyes , for example , in the present day oceans .","[12, 13]",1
"OPCS , of course , is a major data repository for medical statistics and their various Monitor Series are of use , though only at the scale of district health authority and above ( see Gatrell and Lovett 1988 for an example ) .","[12, 13]",0
"Frederica did not attempt to ascertain the fumbled name , having given up interest in stray new people until it was clear that they were of real concern .","[17, 18]",0
‘ The men are all useless — sitting indoors if there 's trouble in the street .,"[7, 8]",0
"The red and green of the Aztec necklace links it compositionally with the indigenous plants to the ‘ south ’ of the painting , the pink colonial-style dress tonally blending with the skyscrapers to the ‘ north ’ .","[28, 29]",1
"No , I 've never heard that before , put your name down for your Christmas lunch","[9, 10]",1
It 's hard to believe she 's about to be worth six million dollars .,"[10, 11]",1
"Torchlights , flaring against the night sky and reflected in the water , had been set up wherever it was suitable .","[0, 1]",0
"In May last year the Court of Appeal upheld a judgment against the friend for more than £5,500 damages for negligence because he had owed the accountant a duty of care .","[1, 2]",0
"Leaves and yellow blossoms obscured the top of the window , while the bottom was covered by aggressive pink hollyhocks , seemingly determined to fight their way inside .","[17, 18]",1
Nuns ascended and descended a cool grey stair in winged white caps .,"[5, 6]",1
There again it 's if we give,"[6, 7]",0
"Outside Flanders , Robert 's sister 's marriage to Roger of Sicily was a mark of his new position in the world ; like Louis VI 's sister 's marriage to Bohemond of Antioch , it stretched French kinship connections into the new Norman colonies , ensuring that travellers from the homeland would find a welcome in those distant parts .","[44, 45]",0
HUNDREDS of thousands of dolphins could be saved from death thanks to pioneering work by British scientists .,"[12, 13]",0
He asked the taxi he had taken to put him down at the top of the drift and he had walked to the house .,"[3, 4]",0
"I mean , it does n't mean what it says in the dictionary any more .","[6, 7]",1
she wants to tell us all about her wedding,"[1, 2]",0
Been down here ever since .,"[3, 4]",0
But a disclaimer can never take away your rights under the Defective Premises Act 1972 for the collapsing conservatory or prevent anyone being sued for negligence which has caused death or injury .,"[13, 14]",0
She took off the voluminous apron Cook had lent her and went in search of her charge .,"[13, 14]",0
Research at the North West Regional Research Laboratory ( NWRRL ) aims to create buffers around busy roads and junctions and to use data from the Cancer Registry to examine possible links between proximity to such sources of pollution and prevalence of lung cancer .,"[13, 14]",0
So there 's a lot of people walking about with just taking bloody tablets who probably really should have a bypass .,"[15, 16]",0
"Well they give you all these bloody tips and papers about what to do , to avoid this and avoid that .","[16, 17]",1
The situation is further confused when some but not all the operator information support is itself computer-based .,"[13, 14]",1
"In the first group session the counselling method is registered in the course tutor 's notes ( Menary , 1986 ) by the explanation : ‘ This session aims to get participants to consider the subject of alcohol in ways they had not thought of in the past ’ ( p. 3 ) .","[23, 24]",0
"The sequence is dictated by the optimal order in which actions should be taken , for example in starting up an aircraft .","[16, 17]",0
Look at me when you 're talking to me I ca n't hear you .,"[12, 13]",0
Hold me a little bit .,"[3, 4]",1
"In the UK only a handful of county emergency planning departments ( Cumbria , for instance ) have built up resource databases in digital form and this needs to be promoted .","[20, 21]",1
There is no mention in the education policy of how that might affect the Department of Education and Science .,"[7, 8]",0
"Instead , for a number of reasons , it proved to be a key step in the development of the debate about integration in Islington .","[14, 15]",1
"Well it 's good good , got a well lagged tank .","[4, 5]",0
"It was providing 27,500 training places ( often in conjunction with the Manpower Services Commission ) : some 2,500 buildings were being improved ; estate action aimed to tackle run down housing ; and a large number of new ‘ partnerships ’ ( which some might see as subsidies , or discredited regional grants , in a new guise ) were in operation , in an effort to bring private investment to run-down urban areas .","[2, 3]",0
"First we shall assume that the current density is confined to a thin wire in which case the integration variable may be changed to formula , where S is a vector normal to the cross-section , formula is the area of the cross-section , and dI is an elementary vector along the tangent of the wire .","[36, 37]",1
"In practice , legislation generally forbids such data being held thus and distributed in anything other than area aggregate form ; the cross-tabulations commonly employed ( e.g. to give tables of population numbers broken down by age and sex ) often result in a great multiplication of the data volumes .","[1, 2]",0
Dalgliesh could glimpse what was obviously her herb garden planted in elegant terracotta pots carefully disposed to catch the sun .,"[7, 8]",0
"‘ Giles rang up , ’ his daughter volunteered , and he was uncomfortably reminded by something in her voice that Giles Hawick was one of the men Jennifer had n't been able to hang on to — or not once he had seen Angela .","[32, 33]",0
"Mind you in the evening , if it gets quite chilly in the evenings so it might be a good jumper to wear in the evenings when we go for our evening walks by the sea .","[22, 23]",0
Lloyd 's chairman David Coleridge welcomed the judgment .,"[2, 3]",0
"If the complaint is proved , a nuisance order is made requiring the defendant to get the necessary work done .","[10, 11]",1
"At present the science curriculum is structured around physical science interests , on which boys are keener ( how motor cars work , atoms and molecules ) ; we were able to recommend that teaching build on the overlapping interests of the two sexes , because girls as well as boys want to know more about human biology and spectacular features of the environment ( animals in the jungle , volcanoes and earthquakes , acids and chemicals ) .","[50, 51]",0
"Frida Kahlo : My Dress Hangs There , 1933 , 46x50 cm , estate of dr .","[5, 6]",0
"The link with crime found by Eysenck was that when prisoners were tested for extroversion , more extroverts were found than in the general population .","[23, 24]",0
By COLIN HUGHES and COLIN BROWN,"[4, 5]",0
Parliament should give fresh thought to enacting a provision placing an obligation upon a council tenant to give notice to the council before being permitted to commence proceedings .,"[3, 4]",1
The age distribution of a work force is always an interesting and important source of information .,"[13, 14]",1
"Well , with all the trussing the might carry on trussing and get that done .","[10, 11]",0
"As a result of this rule , and many carefully orchestrated publicity campaigns , the motor industry 's image has now changed from polluter to pal of the earth .","[25, 26]",1
"Do n't think you can get away with it just because you 've always got away with everything , since you set that nursemaid 's apron alight . ’","[6, 7]",1
"Those guys put people into space , put our people on the moon .","[7, 8]",1
"In contrast , boys seem to have a firmer self-identity and a clearer ambition showing more insight in response to sentence stems such as ‘ My main problem is … ’ and ‘ He/she felt proud that … ’ .","[12, 13]",1
"Nevertheless , the relevant action remains important and the knowledge provided should be carefully and stringently selected .","[4, 5]",0
"Now they guard the body , which is motionless in a lake of blood that is rapidly drying , drunk by the thirsty , insatiable soil .","[17, 18]",1
"In the early 1940s and 1950s , the belief was widely held that a combination of government intervention — in the form of town planning , housing and health programmes , and the provision of social security — and permanent male full employment , together with an increase in real wages , would reduce suffering due to poverty to manageable proportions .","[28, 29]",0
"‘ A letter dropped through the post from the President of the Socialist Republic of Montenegro , inviting me to the funeral , ’ said John Kennedy , a Conservative Party member who lives in Barking and is a distant relative of Nicholas .","[39, 40]",1
"I ca n't make the machine go any bloody quicker , well I can , but I so what 's the point in that come and have a look at it and then they said come back and do it when you on the skin , you know the skin bring it forward well it do n't go back , it just gets all tangled .","[8, 9]",0
"Because it said on the packet you 'll plant them immediately after buying and we do n't know when Aunty Gwen bought them and it might rain tomorrow as well , I think I ought to put them in while it 's fine , now","[19, 20]",0
Lack of congressional action also forced the Treasury to suspend new sales of US savings bonds and of special securities for state and local governments .,"[9, 10]",1
"At a press conference to mark his election victory a year ago , Mr Bush threatened to veto the budget unless it contained real cuts .","[8, 9]",0
"The loveliest , to my mind , is Melford Hall , whose charming , octagonal Jacobean gatehouse is reached along an avenue of clipped yew trees and , with its high windows flooding the octagon with light , is my fantasy of the ideal study .","[15, 16]",0
"A great many crocodile tears were shed , for , since Unionists had such an elevated view of the principle of leadership , they were unable to accept that they had just driven their own leader from office .","[6, 7]",1
"Thus , as with biological theories , crime is seen as pathological ( a disease ) , as something to be looked at from the medical point of view .","[5, 6]",0
"Eventually these persons might have to face up to period of crisis , of self-examination , and so achieve ego-identity by route C. However , foreclosure does offer an escape route and an individual might postpone indefinitely any real self-examination by clinging rigidly to his or her beliefs and values ( route D ) .","[25, 26]",1
"Driving away , I noticed that the vast chimney was still not functioning , but when I called at a neighbouring house a woman showed me videos she had taken of smoke coming from the plant , settling in her garden .","[0, 1]",0
Thus the Palestinian national movement both inside and outside the occupied territories is an organic whole .,"[14, 15]",1
"This development , together with the availability of digital terrain models , will allow quite sophisticated flood forecasting models to be developed within a GIS framework .","[15, 16]",1
Shut the door there we are .,"[2, 3]",0
You ca n't steal their ideas ! ’,"[3, 4]",1
"Today , Sartre 's voluntarism is to some extent returning to favour as the result of a desire to retrieve the categories of agency and the subject , which goes together with the wish to get out of the apparently totalizing systems of Adorno , Althusser or Foucault .","[30, 31]",1
"Certainly , Mr Wheeler convinced me that his company was going to huge lengths to keep itself clean .","[12, 13]",1
Next time we go to the sea .,"[1, 2]",0
She does n't stoop in and,"[3, 4]",1
"Probably a squirrel , he decided , and slithered down the side of the embankment to join her , scolding as he went .","[14, 15]",0
With a 4GL an initial prototype can be put together quickly .,"[9, 10]",1
"Course , the other thing you 've got ta invest in is tables and well you do n't need chairs , but tables , I mean as you can see we 've got two hundred of those poly-cotton chairs in there which is erm can be used .","[4, 5]",1
"Trace gases in the atmosphere are key components of the cycles of such elements as carbon , nitrogen , oxygen , sulphur and the halogens ; as is now well known , their concentrations are much influenced by biogenic and anthropogenic activities and the concentrations of such gases as carbon dioxide , ozone , methane , nitrous oxide and the chlorofluoromethanes ( CFMs ) strongly affect radiative transfer and provide a link with the physical climate system .","[71, 72]",0
I had to paint the gashes as soon as possible so that rust would not begin to bite into Wavebreaker 's long sleekness .,"[12, 13]",0
"The industrial and social impact of science on health , on people , on the environment , a focus on the beauty and complexity of the natural world , are notable omissions from the school science syllabus .","[34, 35]",0
"Most of all , they fear the Israelis . ’","[5, 6]",0
"Although the raster displays are very crude it is simple to answer spatial queries concerning the locations of people ( for instance , particular age groups ) within certain distances of toxic hazard sites .","[6, 7]",1
"OLDHAM Athletic , who had never beaten a First Division side since they dropped into the Second Division in 1923 , made up for 66 years of not altogether patient waiting with a pulsating victory over the League champions Arsenal at Boundary Park last night .","[21, 22]",0
‘ I want to show you the clematis .,"[7, 8]",0
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .","[15, 16]",1
Since 1983 numbers at the Beacon continued to fall as it was increasingly seen as a resource for children with severe and multiple disabilities .,"[22, 23]",0
Weekend Garden Page 43,"[1, 2]",0
"Writing books for children is becoming increasingly complex , as the arbiters of the modern child 's mores — librarians , teachers and publishers — lay down ever more stringent criteria .","[14, 15]",0
"Extensive use of line drawings , schematic diagrams , algorithmic lists is desirable , and where prose is used this also should be structured into short sentences with meaningful separation into paragraphs .","[20, 21]",0
"Lovely , thank you darling , oh we did n't get much further on there , what we started with this morning , no so","[21, 22]",0
"But the Metternich-like skills of the US Secretary of State , Mr James Baker , are ensuring that America maintains a strong stake in each forum .","[13, 14]",0
"A hazard is a threat which , given a set of circumstances , may become translated into a realized event .","[14, 15]",0
"Moreover , as Newby ( 1990 ) has pointed out , the complexities of environmental research have created a new kind of relationship between research and policy : ‘ in the past , … the relationship was predicated on the belief that science provided decision-makers with objective ‘ hard ’ facts on which to base their soft , value-ridden policies … .","[50, 51]",0
Do you think I 'll be able to fill these in ?,"[8, 9]",1
Considerations of this kind have led the House of Lords Select Committee on Murder and Life Imprisonment to recommend the abolition of the mandatory sentence for murder .,"[3, 4]",0
"Between 1982 and 1988 provision gradually increased , so that by 1988 there were 12 children 's day centres , about 70 playgroups and 350 assisted child-minding places funded partially or totally by the Social Services Department , and 1,075 full-time and 824 part-time places in nursery schools funded by the Inner London Education Authority .","[44, 45]",0
"In the meantime , we have the capacity to bring coherence and organisation to a whole range of activities , further consolidating the institutional linkage between the people in the occupied state and the PLO leadership .","[16, 17]",1
"Stretford , Mollyrange er","[0, 1]",0
"Within the next decade , as the privatized water companies develop their GIS , we shall see a massive amount of data conversion in this area .","[16, 17]",0
But he all the dirty tricks are starting now .,"[5, 6]",1
"What , we may ask Harris , happens to the child who repeatedly fails his annual examination ?","[16, 17]",0
This market sensitive dispute has taken place as President Bush and Congress continued to spar on a primary cause for government borrowing — the budget deficit .,"[2, 3]",1
"But calculations of the total carbon released by fossil fuel combustion imply that , if all such carbon remained in the atmosphere , the concentration would have increased by twice as much .","[4, 5]",0
"In 1950 , he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family 's private multinational company , Eduard Keller Ltd , for four years .","[25, 26]",0
"Following a number of major accidents involving industrial activities ( including those at Flixborough , Humberside in 1974 ; Beek , the Netherlands in 1975 ; and Seveso and Manfredonia in Italy in 1976 ) , the EC issued a Directive on Major Accident Hazards .","[22, 23]",0
"Most advocates of biological theories do not express themselves in the same bizarre language and style as Lombroso , and such theories of crime are not merely historical relics that died with Lombroso .","[1, 2]",1
It 's on the video .,"[4, 5]",0
"As with most artists who have become mythical personalities in the popular imagination , such attention has focused primarily on the anecdotal and tragic details of Kahlo 's admittedly fascinating life .","[28, 29]",0
"Contrast this with the position in jurisdictions where there are three or more degrees of homicide : pleas of guilty to first- and second-degree murders would be less frequent , since there would be the possibility of argument in court ( if no bargain was struck beforehand between prosecution and defence ) , and the defence might succeed in persuading the jury to reduce the degree of the killing .","[57, 58]",1
"WHO TO WATCH While the best that chart music can manage in the way of band names is Black Box , the pub circuit has always been ripe with imaginative handles .","[13, 14]",1
"Mr Wheeler , an engineer who worked for many years in the oil business , is a pleasant , slightly worried-looking man who can not bear the fact that no one seems to realise just what lengths he goes to in order to keep the plant squeaky clean and emission-free .","[6, 7]",0
Digital data occupy a central position in this applications field and a number of examples are given to illustrate the extent to which their development has been hampered or facilitated in various countries by the policies of the organizations with responsibility for digital data provision .,"[32, 33]",0
"They moved on to the "" Olive Pickers "" .","[7, 8]",0
"Sharing a small spartan room with two other girls — Northerners whose accent Paula found almost incomprehensible and with whom she had nothing in common , making breakfast in the communal kitchen , queuing for the bath , adhering to a strict curfew after which time the doors were locked and bolted — none of these were restrictions Paula had the slightest intention of enduring for long .","[41, 42]",1
Similar to what I was when I went .,"[7, 8]",0
"As noted above , the work of Fedra ( 1989 ) is a major step in this direction , and links need to be forged between initiatives in the UK and the rest of Europe .","[24, 25]",1
"Unwilling to follow Merleau-Ponty by dropping the second in favour of the first , Sartre argued that it was possible for man to be both at once through the movement of praxis , that is intentional actions which produce material effects .","[35, 36]",0
You can feel it .,"[2, 3]",1
"We are spending £4 billion on cleansing the Mersey Basin alone , and the Thames now has the cleanest metropolitan estuary in the world .","[10, 11]",0
I think I 'm looking forward to a normal day honey,"[5, 6]",1
MANY will take it as a further surrender to Common Market bureaucracy that an inspectorate will soon be established to regulate the smell of farm manure .,"[20, 21]",1
What Mrs Strawson or Ms Beauchamp ?,"[1, 2]",0
it 's very easy you can feel it slipping,"[6, 7]",1
"Hale 's eyes stare knowingly at the viewer , a human sacrifice to an alienated and consumerist culture .","[14, 15]",1
